Angry,Disgust,Fearful,Happy,Sad,Surprised,Neutral,Video,Frame,Correct_Class,Predicted_Class
0.15816116333007812,0.004395788069814444,0.14848117530345917,0.0014940490946173668,0.5310882925987244,0.013170553371310234,0.14320886135101318,01-01-02-01-01-01-03,26,Calm,Sad
0.16591843962669373,0.00458530941978097,0.13850612938404083,0.001568127772770822,0.5280362367630005,0.012478809803724289,0.1489069163799286,01-01-02-01-01-01-03,27,Calm,Sad
0.15975290536880493,0.00816692691296339,0.13292276859283447,0.001665181596763432,0.5124285221099854,0.009535455144941807,0.17552831768989563,01-01-02-01-01-01-03,28,Calm,Sad
0.1793145388364792,0.015804700553417206,0.1367121785879135,0.002493012696504593,0.47979164123535156,0.01611604541540146,0.16976787149906158,01-01-02-01-01-01-03,29,Calm,Sad
0.19465799629688263,0.04507748410105705,0.12611041963100433,0.002826790791004896,0.5164616703987122,0.02243761159479618,0.09242796152830124,01-01-02-01-01-01-03,30,Calm,Sad
0.19273850321769714,0.08177170902490616,0.09368329495191574,0.004709674045443535,0.5070695281028748,0.02277199737727642,0.09725534170866013,01-01-02-01-01-01-03,31,Calm,Sad
0.19428834319114685,0.1151476725935936,0.09919305890798569,0.004738315939903259,0.4793906807899475,0.025585489347577095,0.08165652304887772,01-01-02-01-01-01-03,32,Calm,Sad
0.19530314207077026,0.1319601684808731,0.11603610962629318,0.003800520906224847,0.4487132430076599,0.03043419122695923,0.07375261187553406,01-01-02-01-01-01-03,33,Calm,Sad
0.1989317089319229,0.09381838142871857,0.13813792169094086,0.004206736572086811,0.4473092555999756,0.02725045755505562,0.09034541994333267,01-01-02-01-01-01-03,34,Calm,Sad
0.15505661070346832,0.010344033129513264,0.1448100060224533,0.002981658559292555,0.545927882194519,0.011283260770142078,0.1295965164899826,01-01-02-01-01-01-03,35,Calm,Sad
0.12166480720043182,0.0020438635256141424,0.11103396862745285,0.006747609935700893,0.4726194143295288,0.006128907669335604,0.2797614336013794,01-01-02-01-01-01-03,36,Calm,Sad
0.12471102923154831,0.001617743750102818,0.08694334328174591,0.007842330262064934,0.3785134553909302,0.0034403305035084486,0.3969316780567169,01-01-02-01-01-01-03,37,Calm,Neutral
0.14151117205619812,0.0036059091798961163,0.09176713973283768,0.004320310428738594,0.41691505908966064,0.00378218200057745,0.3380981981754303,01-01-02-01-01-01-03,38,Calm,Sad
0.16784673929214478,0.024993186816573143,0.1116371601819992,0.0017650487134233117,0.4509454369544983,0.005466067232191563,0.237346351146698,01-01-02-01-01-01-03,39,Calm,Sad
0.2695913314819336,0.177808478474617,0.10304529219865799,0.0008105090819299221,0.3508494198322296,0.022052496671676636,0.07584258168935776,01-01-02-01-01-01-03,40,Calm,Sad
0.3659060299396515,0.13551603257656097,0.0988275334239006,0.0012317505897954106,0.26311197876930237,0.053782764822244644,0.08162381500005722,01-01-02-01-01-01-03,41,Calm,Angry
0.253048837184906,0.038820911198854446,0.14674019813537598,0.0008852137834765017,0.38501620292663574,0.031887538731098175,0.14360105991363525,01-01-02-01-01-01-03,42,Calm,Sad
0.13161368668079376,0.0020180600695312023,0.08922683447599411,0.0012203555088490248,0.3922868072986603,0.005200279876589775,0.37843388319015503,01-01-02-01-01-01-03,43,Calm,Sad
0.15911796689033508,0.002768015954643488,0.08920463919639587,0.0011411807499825954,0.38438382744789124,0.003310159081593156,0.3600741922855377,01-01-02-01-01-01-03,44,Calm,Sad
0.17826765775680542,0.012227022089064121,0.09761477261781693,0.0011966374004259706,0.4335242211818695,0.004510215017944574,0.27265939116477966,01-01-02-01-01-01-03,45,Calm,Sad
0.3137768507003784,0.1246558353304863,0.1157170981168747,0.0007353951223194599,0.31661713123321533,0.02287612296640873,0.10562154650688171,01-01-02-01-01-01-03,46,Calm,Sad
0.4145239591598511,0.19628305733203888,0.07821236550807953,0.0009783394634723663,0.20530132949352264,0.061220165342092514,0.04348081350326538,01-01-02-01-01-01-03,47,Calm,Angry
0.5060350298881531,0.14283445477485657,0.07978371530771255,0.0013032231945544481,0.13994526863098145,0.10373853147029877,0.026359811425209045,01-01-02-01-01-01-03,48,Calm,Angry
0.5202707052230835,0.07932151108980179,0.07887914776802063,0.002262422814965248,0.14119285345077515,0.14554446935653687,0.03252890706062317,01-01-02-01-01-01-03,49,Calm,Angry
0.5141562819480896,0.0711301937699318,0.078482486307621,0.002297612139955163,0.17107926309108734,0.12576739490032196,0.03708673268556595,01-01-02-01-01-01-03,50,Calm,Angry
